latent_dim_1,latent_dim_2
-0.05057831,-0.5037036
0.00020436943,1.3386514
0.00092458725,0.052090794
0.020067662,0.60189396
2.6106834e-05,1.7971004
-0.032196015,-0.06549673
-0.0020570904,-0.22095293
-0.009828061,1.0178434
0.01723124,0.3550021
0.020125777,-1.6074008
0.0043921173,-1.7090819
0.043316916,-0.4052087
0.026758686,0.47280926
-0.0035949051,-0.23805195
0.019546866,-1.4250572
-0.04105684,-0.9590954
0.0025194436,1.3617122
-0.03281778,-2.212053
0.02791132,0.8046351
-0.00013524294,1.1407545
-0.012726918,-1.6804947
-0.0007122755,-0.2313036
-0.009774491,0.14940138
0.028847963,-0.57576287
0.014511183,0.33416772
0.02633217,0.40926754
0.022717312,0.4793322
0.025085941,0.679703
-0.0041063726,-1.1290511
-0.06002204,-1.0134053
0.037286118,-0.43456185
-0.018673927,-0.9301504
0.033832014,-0.17927824
-0.050343737,-0.83608365
-0.03250639,-0.29389405
0.014594525,0.70575887
-0.021666363,1.7682604
0.00421685,0.06617895
0.01941368,0.5425193
-0.027487189,-0.11817418
-0.03626387,-0.3709123
-0.0017159432,-1.1470447
0.021329269,-0.9151873
-0.053620502,-0.6919704
-0.040856168,-1.3968925
-0.023402125,-0.30259317
-0.014609337,-1.795967
0.0019738376,0.059290275
-0.028933898,-2.153547
0.015702456,0.40578234
0.038847193,-0.7093318
-0.05014059,-0.68576616
-0.059005857,-0.7160326
0.020825103,1.240292
-0.021423116,-1.3042145
0.017498627,0.4536448
-0.0069874525,1.0096273
0.020664304,1.2923366
-0.03425567,0.027399328
-0.0077511817,1.6860393
-0.026615337,0.0006492557
-0.025915638,-0.27953053
0.016510502,-1.3607042
0.002008915,1.4456708
0.019139692,0.5386256
0.028608993,0.88887787
-0.02816476,-0.013452526
0.0152270645,0.92894703
-0.0041454285,1.8253572
0.018308654,0.681387
-0.037407666,-0.09583434
-0.0013269037,1.1132677
-0.015249521,-0.9870026
0.007803872,1.1549244
-0.044612795,-1.2704202
-0.030566037,-2.1819718
0.027652293,0.782544
-0.027096748,-1.5253507
-0.030697986,-0.03816451
-0.015292674,-1.7641262
0.01769188,0.35733396
-0.004364103,1.0899639
-0.024293512,1.7807114
0.0016582459,1.4014692
0.0011592656,0.27100497
0.038774565,-0.13629545
-0.03240952,-0.13662662
0.011293456,0.03602204
-0.049384058,-1.2585764
-0.026506841,-1.1900481
0.009181395,1.4802417
0.010588929,1.1074727
-0.049205676,-1.0984002
-0.0064231157,1.1901938
0.025542036,0.8620353
-0.050099522,-0.6827774
0.018872023,0.38271528
0.038097546,-0.13300008
-0.038574845,-0.3816291
0.025795087,0.7128749
0.03206776,-0.7227417
0.0048858225,1.3502837
0.01645337,0.43244505
0.023689836,0.4150967
-0.046967,-0.46985567
0.0065054297,1.5270548
0.026270524,0.85218126
0.0031205267,1.424928
0.014145002,0.02845471
0.019933686,0.92022866
0.027367502,-0.12637158
-0.029622778,-0.12523028
-0.010473192,-1.7329895
0.016281024,0.9100034
0.0010482967,1.3799411
-0.005510658,1.9526589
0.01921074,-1.0605273
0.008434385,0.30330253
0.011687532,0.97705936
-0.052335948,-0.71102464
0.025380105,-0.10053513
-0.03127241,-2.1793892
-0.0071231127,1.4600756
0.014291391,0.38905346
-0.012456819,1.423815
-0.03697437,-0.5221144
0.006544605,-1.4793499
0.033282727,-0.78732795
0.025289163,1.0026443
0.0069771707,1.531628
-0.042741552,-0.84218025
-0.016405687,-2.0254664
-0.032607853,-0.07222834
-0.040026993,0.10406101
-0.031770423,-0.08665247
-0.03300175,0.05413322
0.026746005,0.61769485
0.026997223,-0.08000426
0.024936646,0.5658841
